Date,URI US Equity,AGCO US Equity,ATKR US Equity,CNHI US Equity ,TEX US Equity,PCAR US Equity,RS US Equity,CMI US Equity,GTES US Equity,KMT US Equity,MMM US Equity,AYI US Equity,CAT US Equity,DE US Equity,FLS US Equity,JCI US Equity,CARR US Equity,DOV US Equity,NVT US Equity,ALLE US Equity,LII US Equity,PH US Equity,GWW US Equity,HUBB US Equity,HON US Equity,IR US Equity,TT US Equity,ETN US Equity,FTV US Equity,OTIS US Equity,EMR US Equity,SWK US Equity,ITW US Equity,FAST US Equity,ROK US Equity,KNX US Equity,WERN US Equity
10/31/2015,8.83,17.45,#N/A N/A,12.099,9.626,12.12,12.631,11.816,#N/A N/A,15.519,18.837,32.304,20.759,17.931,14.75,14.402,#N/A N/A,13.123,#N/A N/A,19.936,21.529,16.969,17.866,17.741,15.289,#N/A N/A,11.701,12.556,#N/A N/A,#N/A N/A,14.399,16.19,17.077,20.896,16.435,9.845,15.242
11/30/2015,9.213,18.27,#N/A N/A,13.819,9.808,12.04,12.391,11.772,#N/A N/A,18.123,18.802,33.918,20.68,18.762,14.911,14.959,#N/A N/A,13.332,#N/A N/A,20.503,22.036,17.004,17.279,18.279,15.424,#N/A N/A,11.581,13.586,#N/A N/A,#N/A N/A,16.145,16.676,17.468,21.701,17.687,10.203,15.512
12/31/2015,8.495,18.687,#N/A N/A,12.791,9.019,11.375,12.838,10.614,#N/A N/A,19.01,18.662,31.944,20.071,17.984,13.915,13.516,#N/A N/A,13.218,#N/A N/A,20.104,20.449,15.922,17.53,18.601,15.363,#N/A N/A,10.987,12.182,#N/A N/A,#N/A N/A,15.58,16.34,17.369,21.923,17.062,9.037,13.599
1/31/2016,5.884,20.613,#N/A N/A,13.958,11.167,12.143,11.711,11.452,#N/A N/A,17.56,18.319,25.989,16.628,18.124,13.019,14.285,#N/A N/A,12.465,#N/A N/A,17.87,18.748,16.297,16.751,16.982,14.945,#N/A N/A,10.032,11.882,#N/A N/A,#N/A N/A,14.382,15.263,16.481,21.924,16.512,10.635,13.96
2/29/2016,6.485,21.369,#N/A N/A,18.42,16.055,13.059,13.858,12.426,#N/A N/A,21.461,19.063,26.598,18.116,20.035,16.714,14.79,#N/A N/A,12.982,#N/A N/A,18.806,20.448,17.129,18.377,18.673,14.675,#N/A N/A,11.038,13.353,#N/A N/A,#N/A N/A,15.651,15.299,17.233,24.376,18.024,11.059,15.481
3/31/2016,7.764,21.45,#N/A N/A,18.781,17.784,14.039,16.132,13.996,#N/A N/A,24.157,20.225,27.139,21.314,19.223,17.651,15.433,#N/A N/A,14.533,#N/A N/A,19.018,21.404,18.814,19.782,19.994,16.165,#N/A N/A,12.319,14.73,#N/A N/A,#N/A N/A,17.357,17.096,18.724,26.344,19.649,12.286,15.883
4/30/2016,8.744,22.059,#N/A N/A,19.067,14.756,15.03,15.074,14.948,#N/A N/A,22.203,20.046,28.502,28.427,21.064,19.681,15.867,#N/A N/A,14.805,#N/A N/A,18.944,20.016,18.111,19.193,19.289,16.05,#N/A N/A,12.317,14.568,#N/A N/A,#N/A N/A,17.185,17.09,18.376,25.102,19.109,11.151,15.69
5/31/2016,9.056,21.441,#N/A N/A,15.845,13.026,14.207,15.124,14.373,#N/A N/A,19.584,20.238,30.184,26.57,22.77,18.699,17.759,#N/A N/A,15.042,#N/A N/A,19.538,20.372,17.877,18.713,19.524,15.969,#N/A N/A,12.531,14.165,#N/A N/A,#N/A N/A,16.483,17.282,18.634,24.641,19.596,10.474,15.498
6/30/2016,8.722,19.605,#N/A N/A,15.902,12.662,13.466,15.322,14.161,#N/A N/A,18.108,21.073,27.141,27.83,22.467,17.583,17.75,#N/A N/A,15.612,#N/A N/A,20.038,21.154,16.807,18.656,19.377,16.326,#N/A N/A,11.953,13.737,#N/A N/A,#N/A N/A,16.649,17.108,18.364,23.84,19.412,10.685,19.566
7/31/2016,9.86,20.244,12.696,17.08,15.106,15.369,14.887,15.295,#N/A N/A,20.944,20.984,28.463,23.445,21.977,18.75,18.567,#N/A N/A,15.954,#N/A N/A,20.443,22.194,17.57,18.436,19.276,15.93,#N/A N/A,12.172,14.343,16.003,#N/A N/A,17.769,18,19.506,23.541,19.288,13.789,21.711
